SORRO  AA-579-PJ;Start;Destination;Fuel Cost (CFA);Road Fees (CFA)+Police;Total Expense;Tonnage (T);Total Gross (CFA);Total Net ;COMMENTAIRE;KM;;;;
;LAUZOUA;SAN PEDRO;;;;;;;;;;;;
;TOTAL;;2 017 974CFA;353 600CFA;2 371 574,0;849,48;6 795 840CFA;4424266;;;;;;
;;;3 363$;$589,33;$3 952,62;;$11 326,40;$7 373,78;;;;;;
;;;;;;;;;;;;;;
;;;;TOTAL 03/06/2025 TRIP FROM                        03/06/2025 21856Km       Km on                                          Total distance for  Trip  Km;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
01/07/2025;ABIDJAN;SAN PEDRO;282 800CFA;30 300CFA;313 100CFA;112,38;899040;585 940CFA;2 trips (54,54+57,84);28 426km;;;;
02/07/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;161 600CFA;57,08;456640;295 040CFA;;28 813km;;;;
03/07/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;161 600CFA;58,98;471840;310 240CFA;;29 199km;;;;
04/07/2025;LAUZOUA;SAN PEDRO;141 400CFA;30 300CFA;171 700CFA;56,02;448160;276 460CFA;10K Police;29 586km;;;;
05/07/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;161 600CFA;53,10;424800;263 200CFA;;29 961km;;;;
06/07/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;161 600CFA;55,44;443520;281 920CFA;;30 363km;;;;
07/07/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;161 600CFA;58,24;465920;304 320CFA;;30 758km;;;;
08/07/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;161 600CFA;53,34;426720;265 120CFA;;31 148km;;;;
09/07/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;161 600CFA;53,94;431520;269 920CFA;;31 539km;;;;
10/07/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;171 700CFA;61,18;489440;317 740CFA;;31 795km;;;;
11/07/2025;LAUZOUA;SAN PEDRO;141 400CFA;30 300CFA;171 700CFA;59,46;475680;303 980CFA;10K police;31 926km;;;;
12/07/2025;LAUZOUA;SAN PEDRO;282 800CFA;30 300CFA;313 100CFA;112,44;899520;586 420CFA;2 trips 54,62 +57,82;32 696km;;;;
13/07/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;161 600CFA;59,40;475200;313 600CFA;;33 476km;;;;
14/07/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;161 600CFA;54,74;437920;276 320CFA;;33 861km;;;;
15/07/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;161 600CFA;60,80;486400;324 800CFA;;35 029km;;;;
16/07/2025;LAUZOUA;SAN PEDRO;282 800CFA;40 400CFA;323 200CFA;121,24;969920;646 720CFA;58,78 +62,46 +10K police;35 417km;;;;
17/07/2025;LAUZOUA;SAN PEDRO;282 800CFA;30 300CFA;313 100CFA;110,22;881760;568 660CFA;53,42+56,8;;;;;
18/07/2025;LAUZOUA;SAN PEDRO;141 500CFA;20 200CFA;161 700CFA;0,00;0;-161 700CFA;;;;;;
19/07/2025;LAUZOUA;SAN PEDRO;;5 000CFA;5 000CFA;0,00;0;-5 000CFA;;;;;;
20/07/2025;LAUZOUA;SAN PEDRO;;5 000CFA;5 000CFA;44,68;357440;352 440CFA;;;;;;
21/07/2025;LAUZOUA;SAN PEDRO;;;0CFA;;0;0CFA;;;;;;
22/07/2025;LAUZOUA;SAN PEDRO;;;0CFA;;0;0CFA;;;;;;
23/07/2025;LAUZOUA;SAN PEDRO;;;0CFA;;0;0CFA;;;;;;
24/07/2025;LAUZOUA;SAN PEDRO;;;0CFA;;0;0CFA;;;;;;
25/07/2025;LAUZOUA;SAN PEDRO;;;0CFA;;0;0CFA;;;;;;
