AMARA AA-672-PS-09;Start;Destination;Fuel Cost (CFA);Road Fees (CFA);Total Expense;Tonnage (T);Total Gross (CFA);Total Net (€);;;;;;
mardi 28 octobre 25;;;;;;;;;;;;;;
mercredi 29 octobre 25;;;;;;;;;;;;;;
jeudi 30 octobre 25;;;;;;;;;;;;;;
vendredi 31 octobre 25;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;TOTAL;;1 620 000CFA;267 300CFA;1 887 300CFA;644,20;5 153 600CFA;5152955,8;;;;;;
;;;$2 700,00;446CFA;$3 145,50;;$8 589,33;$8 588,26;;;;;;
;;;;;;;;;;;;;;
;;;;TOTAL 01/10/2025 TRIP            31/10/2025   30538Km                 Total distance for Trip   Km;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
samedi 1 novembre 25;;;;;;;;;;;;;;
dimanche 2 novembre 25;;;;;;;;;;;;;;
lundi 3 novembre 25;;;;;;;;;;;;;;
mardi 4 novembre 25;;;;;;;;;;;;;;
mercredi 5 novembre 25;;;;;;;;;;;;;;
jeudi 6 novembre 25;;;;;;;;;;;;;;
vendredi 7 novembre 25;;;;;;;;;;;;;;
samedi 8 novembre 25;;;;;;;;;;;;;;
dimanche 9 novembre 25;;;;;;;;;;;;;;
lundi 10 novembre 25;ABIDJAN;LAUZOUA;143 030CFA;15 150CFA;158 180CFA;0,00;0;-158 180CFA;;"
No chargement this day";;;;
mardi 11 novembre 25;SAN PEDRO;LAUZOUA;;;;0,00;;;;"
No chargement this day";;;;
mercredi 12 novembre 25;SAN PEDRO;LAUZOUA;135 000CFA;32 230CFA;167 230CFA;52,70;421 600CFA;254 370CFA;66 051km;12K Police;;;;
jeudi 13 novembre 25;SAN PEDRO;LAUZOUA;135 000CFA;30 300CFA;165 300CFA;54,06;432 480CFA;267 180CFA;66 458km;10K for police documents;;;;
vendredi 14 novembre 25;SAN PEDRO;LAUZOUA;135 000CFA;20 200CFA;155 200CFA;56,96;455 680CFA;300 480CFA;66 824km;;;;;
samedi 15 novembre 25;SAN PEDRO;LAUZOUA;135 000CFA;20 200CFA;155 200CFA;57,20;457 600CFA;302 400CFA;67 208km;;;;;
dimanche 16 novembre 25;SAN PEDRO;LAUZOUA;135 000CFA;20 200CFA;155 200CFA;52,16;417 280CFA;262 080CFA;;;;;;
lundi 17 novembre 25;SAN PEDRO;LAUZOUA;80 080CFA;20 200CFA;100 280CFA;56,54;452 320CFA;352 040CFA;67 979km;;;;;
mardi 18 novembre 25;SAN PEDRO;LAUZOUA;135 000CFA;24 240CFA;159 240CFA;62,28;498 240CFA;339 000CFA;68 355km;;;;;
mercredi 19 novembre 25;SAN PEDRO;LAUZOUA;135 000CFA;20 200CFA;155 200CFA;62,18;497 440CFA;342 240CFA;68 745km;;;;;
jeudi 20 novembre 25;SAN PEDRO;LAUZOUA;;;;;;;;no trasport at minning ;;;;
vendredi 21 novembre 25;SAN PEDRO;LAUZOUA;;;;;;;;;;;;
samedi 22 novembre 25;SAN PEDRO;LAUZOUA;;;;;;;;;;;;
dimanche 23 novembre 25;SAN PEDRO;LAUZOUA;;;;;;;;;;;;
lundi 24 novembre 25;SAN PEDRO;LAUZOUA;;;;;;;;;;;;
mardi 25 novembre 25;SAN PEDRO;LAUZOUA;;;;;;;;;;;;
mercredi 26 novembre 25;SAN PEDRO;LAUZOUA;229 500CFA;30 300CFA;259 800CFA;55,74;445 920CFA;186 120CFA;69 133km;;;;;
jeudi 27 novembre 25;SAN PEDRO;LAUZOUA;135 000CFA;20 200CFA;155 200CFA;66,14;529 120CFA;373 920CFA;69 502km;;;;;
vendredi 28 novembre 25;SAN PEDRO;LAUZOUA;135 000CFA;20 200CFA;155 200CFA;62,62;500 960CFA;345 760CFA;69 892km;;;;;
samedi 29 novembre 25;SAN PEDRO;LAUZOUA;135 000CFA;20 200CFA;155 200CFA;62,22;497 760CFA;342 560CFA;70 275km;;;;;
dimanche 30 novembre 25;SAN PEDRO;LAUZOUA;135 000CFA;20 200CFA;155 200CFA;56,80;454 400CFA;299 200CFA;70 677km;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;TOTAL;;1 802 610CFA;314 020CFA;2 116 630CFA;757,60;5 606 400CFA;3509970;;;;;;
;;;$3 004,35;$523,37;$3 527,72;;$9 344,00;$5 849,95;;;;;;
;;;;;;;;;;;;;;
;;;;TOTAL 10/11/2025 TRIP            30/11/2025   30538Km                 Total distance for Trip   Km;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
lundi 1 décembre 25;SAN PEDRO;LAUZOUA;135 000CFA;20 200CFA;155 200CFA;56,80;454 400CFA;299 200CFA;70 677km;;;;;
mardi 2 décembre 25;;;;;;;;;;;;;;
mercredi 3 décembre 25;;;;;;;;;;;;;;
jeudi 4 décembre 25;;;;;;;;;;;;;;
vendredi 5 décembre 25;;;;;;;;;;;;;;
samedi 6 décembre 25;;;;;;;;;;;;;;
dimanche 7 décembre 25;;;;;;;;;;;;;;
lundi 8 décembre 25;;;;;;;;;;;;;;
mardi 9 décembre 25;;;;;;;;;;;;;;
mercredi 10 décembre 25;SAN PEDRO;LAUZOUA;135 000CFA;30 300CFA;165 300CFA;61,88;495 040CFA;329 740CFA;71 429km;;;;;
jeudi 11 décembre 25;SAN PEDRO;LAUZOUA;135 000CFA;20 200CFA;155 200CFA;62,14;497 120CFA;341 920CFA;71 817km;;;;;
vendredi 12 décembre 25;SAN PEDRO;LAUZOUA;135 000CFA;20 200CFA;155 200CFA;64,12;512 960CFA;357 760CFA;72 199km;;;;;
samedi 13 décembre 25;SAN PEDRO;LAUZOUA;135 000CFA;20 200CFA;155 200CFA;55,20;441 600CFA;286 400CFA;72 199km;;;;;
dimanche 14 décembre 25;SAN PEDRO;LAUZOUA;135 000CFA;20 200CFA;155 200CFA;57,46;459 680CFA;304 480CFA;;;;;;
lundi 15 décembre 25;SAN PEDRO;LAUZOUA;135 000CFA;20 200CFA;155 200CFA;65,18;521 440CFA;366 240CFA;;;;;;
mardi 16 décembre 25;SAN PEDRO;LAUZOUA;135 000CFA;32 250CFA;167 250CFA;114,20;913 600CFA;746 350CFA;74 518km;2 trips;;;;
mercredi 17 décembre 25;SAN PEDRO;LAUZOUA;270 000CFA;42 550CFA;312 550CFA;118,00;944 000CFA;631 450CFA;74 915km;2 trips and amara police document;;;;
jeudi 18 décembre 25;SAN PEDRO;LAUZOUA;270 000CFA;20 200CFA;290 200CFA;63,60;508 800CFA;218 600CFA;75 274km;;;;;
vendredi 19 décembre 25;SAN PEDRO;LAUZOUA;135 000CFA;25 250CFA;160 250CFA;60,52;484 160CFA;323 910CFA;75 671km;Amara back doors broken;;;;
samedi 20 décembre 25;SAN PEDRO;LAUZOUA;135 000CFA;20 200CFA;155 200CFA;57,54;460 320CFA;305 120CFA;76 046km;;;;;
dimanche 21 décembre 25;SAN PEDRO;LAUZOUA;135 000CFA;20 200CFA;155 200CFA;58,36;466 880CFA;311 680CFA;76 444km;;;;;
lundi 22 décembre 25;SAN PEDRO;LAUZOUA;135 000CFA;20 200CFA;155 200CFA;57,12;456 960CFA;301 760CFA;76 820km;;;;;
mardi 23 décembre 25;SAN PEDRO;LAUZOUA;;5 050CFA;;;0CFA;0CFA;;;;;;
mercredi 24 décembre 25;SAN PEDRO;LAUZOUA;135 000CFA;20 200CFA;155 200CFA;55,54;444 320CFA;289 120CFA;;;;;;
jeudi 25 décembre 25;SAN PEDRO;LAUZOUA;;5 050CFA;;;0CFA;0CFA;;;;;;
vendredi 26 décembre 25;SAN PEDRO;LAUZOUA;135 000CFA;20 200CFA;155 200CFA;64,92;519 360CFA;364 160CFA;77 600km;;;;;
samedi 27 décembre 25;SAN PEDRO;LAUZOUA;;5 050CFA;5 050CFA;;0CFA;-5 050CFA;;;;;;
dimanche 28 décembre 25;SAN PEDRO;LAUZOUA;;5 050CFA;5 050CFA;;0CFA;-5 050CFA;;;;;;
lundi 29 décembre 25;ABIDJAN;LAUZOUA;;30 300CFA;30 300CFA;65,10;520 800CFA;490 500CFA;77 987km;;;;;
mardi 30 décembre 25;ABIDJAN;LAUZOUA;135 000CFA;20 200CFA;155 200CFA;52,50;420 000CFA;264 800CFA;;;;;;
mercredi 31 décembre 25;ABIDJAN;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;TOTAL;;2 565 000CFA;443 450CFA;3 008 450CFA;1 190CFA;9 521 440CFA;$6 523 090,00;;;;;;
;;;$4 275,00;739CFA;$5 014,08;;$15 869,07;$10 871,82;;;;;;
