AMARA AA-672-PS-09;Start;Destination;Fuel Cost (CFA);Road Fees (CFA);Total Expense;Tonnage (T);Total Gross (CFA);Total Net (€);;;;;;
29/04/2025;Abidjan;Lauzoua;242 400CFA;20 200CFA;262 600CFA;;;-262 600CFA;;;;;;
30/04/2025;Abidjan;Lauzoua;;12 120CFA;12 120CFA;120,76;966 080CFA;953 960CFA;60,4+60,36;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;TOTAL;;2 886 283CFA;435 703CFA;3 321 986CFA;1164,7;9 316 320CFA;5 994 334CFA;;;;;;
;;;5 154,08$;778,04$;5 932,12$;;16 636,29$;10 704,17$;;;;;;
;;;;TOTAL 05/04/2025 TRIP FROM MARCH 08 TO 03/01/2025   06/03/2025  13 138 Km      21548 Km on 28/03                  Total distance for 23 Trip  8 410Km;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
01/05/2025;Abidjan;Lauzoua;161 600CFA;18 180CFA;179 780CFA;53,80;430 400CFA;250 620CFA;;;;;;
02/05/2025;Abidjan;Lauzoua;149 380CFA;3 030CFA;152 410CFA;;;-152 410CFA;;;;;;
03/05/2025;Abidjan;Lauzoua;30 300CFA;3 030CFA;33 330CFA;60,76;486 080CFA;452 750CFA;;;;;;
02/06/2025;ABIDJAN;SAN PEDRO;230 500CFA;23 000CFA;253 500CFA;50,60;404800;151 300CFA;;;;;;
03/06/2025;LAUZOUA;SAN PEDRO;242 400CFA;25 000CFA;267 400CFA;55,26;442080;174 680CFA;5K Foor doors maintenance;;;;;
04/06/2025;LAUZOUA;SAN PEDRO;0CFA;20 200CFA;20 200CFA;56,98;455840;435 640CFA;;;;;;
05/06/2025;LAUZOUA;SAN PEDRO;0CFA;31 310CFA;31 310CFA;61,40;491200;459 890CFA;11K For broken Pipe;;;;;
06/06/2025;LAUZOUA;SAN PEDRO;0CFA;0CFA;0CFA;0,00;0;0CFA;;;;;;
07/06/2025;LAUZOUA;SAN PEDRO;0CFA;0CFA;0CFA;0,00;0;0CFA;;;;;;
08/06/2025;LAUZOUA;SAN PEDRO;259 000CFA;0CFA;259 000CFA;0,00;0;-259 000CFA;;;;;;
09/06/2025;LAUZOUA;SAN PEDRO;0CFA;20 200CFA;20 200CFA;52,28;418240;398 040CFA;;;;;;
10/06/2025;LAUZOUA;SAN PEDRO;150 000CFA;30 000CFA;180 000CFA;51,80;414400;234 400CFA;10K Police document;;;;;
11/06/2025;LAUZOUA;SAN PEDRO;250 000CFA;22 000CFA;272 000CFA;56,32;450560;178 560CFA;2K TIRES;;;;;
12/06/2025;LAUZOUA;SAN PEDRO;0CFA;20 200CFA;20 200CFA;53,66;429280;409 080CFA;;;;;;
13/06/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;161 600CFA;53,12;424960;263 360CFA;;;;;;
14/06/2025;LAUZOUA;SAN PEDRO;0CFA;20 200CFA;20 200CFA;61,16;489280;469 080CFA;;;;;;
15/06/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;161 600CFA;53,18;425440;263 840CFA;;;;;;
16/06/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;161 600CFA;58,38;467040;305 440CFA;2K GREASE TRuck;;;;;
17/06/2025;LAUZOUA;SAN PEDRO;141 400CFA;22 200CFA;163 600CFA;54,88;439040;275 440CFA;;;;;;
18/06/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;161 600CFA;50,98;407840;246 240CFA;;;;;;
19/06/2025;LAUZOUA;SAN PEDRO;0CFA;3 000CFA;3 000CFA;0,00;0;-3 000CFA;;;;;;
20/06/2025;LAUZOUA;SAN PEDRO;0CFA;3 000CFA;3 000CFA;0,00;0;-3 000CFA;;;;;;
21/06/2025;LAUZOUA;SAN PEDRO;0CFA;3 000CFA;3 000CFA;0,00;0;-3 000CFA;;;;;;
22/06/2025;LAUZOUA;SAN PEDRO;0CFA;3 000CFA;3 000CFA;0,00;0;-3 000CFA;;;;;;
23/06/2025;LAUZOUA;SAN PEDRO;0CFA;3 000CFA;3 000CFA;0,00;0;-3 000CFA;;;;;;
24/06/2025;LAUZOUA;SAN PEDRO;0CFA;3 000CFA;3 000CFA;0,00;0;-3 000CFA;;;;;;
25/06/2025;LAUZOUA;SAN PEDRO;0CFA;3 000CFA;3 000CFA;0,00;0;-3 000CFA;;;;;;
26/06/2025;LAUZOUA;SAN PEDRO;0CFA;5 000CFA;5 000CFA;0,00;0;-5 000CFA;;;;;;
27/06/2025;LAUZOUA;SAN PEDRO;141 400CFA;30 000CFA;171 400CFA;58,76;470080;298 680CFA;10K POLICE;35983KM;;;;
28/06/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;161 600CFA;56,92;455360;293 760CFA;;;;;;
29/06/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;161 600CFA;62,22;497760;336 160CFA;;;;;;
30/06/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;161 600CFA;60,08;480640;319 040CFA;;36769KM;;;;
;;;;;0CFA;;;0;;;;;;
;TOTAL;;2 404 500CFA;431 710CFA;2 836 210CFA;1 122,54;8063840;5227630;;;;;;
;;;$4 007,50;$719,52;$4 727,02;;$13 439,73;$8 712,72;;;;;;
;;;;180000;;;;;;;;;;
;;;;TOTAL 02/06/2025 TRIP                ON 06/03/2025   30538Km                 Total distance for Trip   Km;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
01/07/2025;LAUZOUA;SAN PEDRO;282 800CFA;22 400CFA;305 200CFA;114,60;916800;611 600CFA;58,58+ 56,02;37 144KM;;;;
02/07/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;161 600CFA;58,94;471520;309 920CFA;;37 549KM;;;;
03/07/2025;LAUZOUA;SAN PEDRO;282 800CFA;20 200CFA;303 000CFA;109,08;872640;569 640CFA;57,48+51,6;38 306KM;;;;
04/07/2025;LAUZOUA;SAN PEDRO;141 400CFA;30 300CFA;171 700CFA;55,38;443040;271 340CFA;10K POLICE;39 093KM;;;;
05/07/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;161 600CFA;56,00;448000;286 400CFA;;39 525KM;;;;
