BRAHIMA AA-736-PK;Start;Destination;Fuel Cost (CFA);Road Fees (CFA);;Total Expense;Tonnage (T);Total Gross (CFA);Total Net (€);COMMENTAIRE;;;;
mercredi 24 décembre 25;Lauzoua;San Pedro;;5 050CFA;;;;;;;;;;
jeudi 25 décembre 25;Lauzoua;San Pedro;135 000CFA;15 150CFA;;150 150CFA;54,50;436 000CFA;285 850CFA;;72 159km;;;
vendredi 26 décembre 25;Lauzoua;San Pedro;;5 050CFA;;5 050CFA;;0CFA;-5 050CFA;;;;;
samedi 27 décembre 25;Lauzoua;San Pedro;;5 050CFA;;5 050CFA;;0CFA;-5 050CFA;;;;;
dimanche 28 décembre 25;Lauzoua;San Pedro;135 000CFA;15 150CFA;;150 150CFA;57,22;457 760CFA;307 610CFA;;72 550km;;;
lundi 29 décembre 25;Lauzoua;Abidjan;;22 400CFA;;22 400CFA;61,76;494 080CFA;471 680CFA;;;2K Tire brahima;;
mardi 30 décembre 25;Lauzoua;Abidjan;135 000CFA;;;;62,98;503 840CFA;503 840CFA;;72 936km;;;
mercredi 31 décembre 25;Lauzoua;Abidjan;;;;;;;0CFA;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;TOTAL;;2 565 000CFA;309 700CFA;;2734650;1 200,30;9 602 400CFA;6 867 750CFA;;;;;
;;;$4 275,00;$516,17;;$4 557,75;;16 004CFA;$11 446,25;;;;;
