BRAHIMA AA-736-PK;Start;Destination;Fuel Cost (CFA);Road Fees (CFA);;Total Expense;Tonnage (T);Total Gross (CFA);Total Net (€);COMMENTAIRE;;;;
16/07/2025;LAUZOUA;SAN PEDRO;282 800CFA;40 400CFA;;323 200CFA;106,80;854 400;531 200CFA;52,86+53,94      10K Police;38 679Km / 39 454Km;;;
17/07/2025;LAUZOUA;SAN PEDRO;282 800CFA;30 300CFA;;313 100CFA;105,96;847 680;534 580CFA;53,34+52,62;39 842km;;;
18/07/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;;161 600CFA;0,00;0;-161 600CFA;;;;;
19/07/2025;LAUZOUA;SAN PEDRO;;5 050CFA;;5 050CFA;0,00;0,00;-5 050CFA;;;;;
20/07/2025;LAUZOUA;SAN PEDRO;;5 050CFA;;5 050CFA;0,00;0;-5 050CFA;;;;;
21/07/2025;LAUZOUA;SAN PEDRO;;23 000CFA;;23 000CFA;46,86;374 880;351 880CFA;;;;;
22/07/2025;LAUZOUA;SAN PEDRO;;;;0CFA;;0;0CFA;;;;;
23/07/2025;LAUZOUA;SAN PEDRO;;;;0CFA;;0;0CFA;;;;;
24/07/2025;LAUZOUA;SAN PEDRO;;;;0CFA;;0;0CFA;;;;;
25/07/2025;LAUZOUA;SAN PEDRO;;;;0CFA;;0;0CFA;;;;;
26/07/2025;LAUZOUA;SAN PEDRO;;;;0CFA;;0;0CFA;;;;;
27/07/2025;LAUZOUA;SAN PEDRO;;;;0CFA;;0;0CFA;;;;;
28/07/2025;LAUZOUA;SAN PEDRO;;;;0CFA;;0;0CFA;;;;;
29/07/2025;LAUZOUA;SAN PEDRO;;;;0CFA;;0;0CFA;;;;;
;;;;;;0CFA;;;0;;;;;
;TOTAL;;2 969 598CFA;507 000CFA;;3 476 598CFA;1 150,32;9202560;5725962;;;;;
;;;$4 949,33;$845,00;;$5 794,33;;$15 337,60;$9 543,27;;;;;
;;;;;;;;;;;;;;
;;;;TOTAL 02/06/2025 TRIP                ON 01/07/2025   32 466km                 Total distance for Trip   Km;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
AUGUST;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
jeudi 14 août 2025;ABIDJAN;LAUZOUA;212 190CFA;30 300CFA;;242 490CFA;0,00;0CFA;-242 490CFA;10K Washing;;;;
vendredi 15 août 2025;LAUZOUA;ABIDJAN;141 400CFA;20 200CFA;;161 600CFA;61,56;492 480CFA;330 880CFA;;40 667km;;;
samedi 16 août 2025;LAUZOUA;ABIDJAN;141 400CFA;20 200CFA;;161 600CFA;54,56;436 480CFA;274 880CFA;;41 090km;;;
dimanche 17 août 2025;LAUZOUA;ABIDJAN;141 400CFA;20 200CFA;;161 600CFA;52,36;418 880CFA;257 280CFA;;41 464km;;;
lundi 18 août 2025;LAUZOUA;ABIDJAN;0CFA;20 200CFA;;20 200CFA;55,18;441 440CFA;421 240CFA;;;;;
mardi 19 août 2025;LAUZOUA;ABIDJAN;0CFA;0CFA;;0CFA;;0CFA;0CFA;;;;;
mercredi 20 août 2025;LAUZOUA;ABIDJAN;141 400CFA;0CFA;;141 400CFA;;0CFA;-141 400CFA;;;;;
jeudi 21 août 2025;LAUZOUA;ABIDJAN;141 400CFA;20 200CFA;;161 600CFA;62,48;499 840CFA;338 240CFA;;41885KM;;;
vendredi 22 août 2025;LAUZOUA;ABIDJAN;141 400CFA;20 200CFA;;161 600CFA;62,10;496 800CFA;335 200CFA;;42 254km;;;
samedi 23 août 2025;LAUZOUA;ABIDJAN;141 400CFA;20 200CFA;;161 600CFA;62,76;502 080CFA;340 480CFA;;42 631km;;;
dimanche 24 août 2025;LAUZOUA;ABIDJAN;141 400CFA;20 200CFA;;161 600CFA;57,50;460 000CFA;298 400CFA;;43 390km;;;
lundi 25 août 2025;LAUZOUA;ABIDJAN;0CFA;;;;;0CFA;0CFA;;;;;
mardi 26 août 2025;LAUZOUA;ABIDJAN;141 400CFA;20 200CFA;;161 600CFA;57,18;457 440CFA;295 840CFA;;43 766km;;;
mercredi 27 août 2025;LAUZOUA;ABIDJAN;141 400CFA;20 200CFA;;161 600CFA;63,88;511 040CFA;349 440CFA;;44 141km;;;
jeudi 28 août 2025;LAUZOUA;ABIDJAN;141 400CFA;20 200CFA;;161 600CFA;65,90;527 200CFA;365 600CFA;;44 517km;;;
vendredi 29 août 2025;LAUZOUA;ABIDJAN;141 400CFA;20 200CFA;;161 600CFA;50,46;403 680CFA;242 080CFA;;44 891km;;;
samedi 30 août 2025;LAUZOUA;ABIDJAN;140 000CFA;20 200CFA;;160 200CFA;52,64;421 120CFA;260 920CFA;;45 265km;;;
dimanche 31 août 2025;LAUZOUA;ABIDJAN;140 000CFA;20 200CFA;;160 200CFA;57,64;461 120CFA;300 920CFA;;;;;
;;;;;;;;;;;;;;
;TOTAL;;2 188 990CFA;313 100CFA;;2 502 090CFA;816,20;6 529 600CFA;4 027 510CFA;;;;;
;;;$3 648,32;$521,83;;$4 170,15;;$10 882,67;$6 712,52;;;;;
;;;;;;;;;;;;;;
;;;;TOTAL 14/08/2025 TRIP 14              ON 31/08/2025                   Total distance 4598KM for;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
lundi 1 septembre 2025;LAUZOUA;ABIDJAN;140 000CFA;50 500CFA;;190 500CFA;57,30;458 400CFA;267 900CFA;30K mecanical Probleme on Tire;;;;
mardi 2 septembre 2025;LAUZOUA;ABIDJAN;135 000CFA;20 200CFA;;155 200CFA;55,92;447 360CFA;292 160CFA;;;;;
mercredi 3 septembre 2025;LAUZOUA;ABIDJAN;135 000CFA;20 200CFA;;155 200CFA;53,76;430 080CFA;274 880CFA;;46 031km;;;
jeudi 4 septembre 2025;LAUZOUA;ABIDJAN;135 000CFA;20 200CFA;;155 200CFA;61,62;492 960CFA;337 760CFA;;46 414km;;;
vendredi 5 septembre 2025;LAUZOUA;ABIDJAN;0CFA;183 740CFA;;183 740CFA;0,00;0CFA;-183 740CFA;Tire Brake 32240 Mechanique + Transport +151500 Materiel;46 786km;;;
samedi 6 septembre 2025;LAUZOUA;ABIDJAN;0CFA;0CFA;;0CFA;0,00;0CFA;0CFA;;47 168km;;;
dimanche 7 septembre 2025;LAUZOUA;ABIDJAN;135 000CFA;20 200CFA;;155 200CFA;54,86;438 880CFA;283 680CFA;;47 546km;;;
lundi 8 septembre 2025;LAUZOUA;ABIDJAN;135 000CFA;22 200CFA;;157 200CFA;56,56;452 480CFA;295 280CFA;;47921Km;;;
mardi 9 septembre 2025;LAUZOUA;ABIDJAN;135 000CFA;20 200CFA;;155 200CFA;56,36;450 880CFA;295 680CFA;;48 296km;;;
mercredi 10 septembre 2025;LAUZOUA;ABIDJAN;135 000CFA;20 200CFA;;155 200CFA;55,34;442 720CFA;287 520CFA;;48 671km;;;
jeudi 11 septembre 2025;LAUZOUA;ABIDJAN;0CFA;20 200CFA;;20 200CFA;56,26;450 080CFA;429 880CFA;;49 050km;;;
vendredi 12 septembre 2025;LAUZOUA;ABIDJAN;135 000CFA;20 200CFA;;155 200CFA;55,06;440 480CFA;285 280CFA;;49 413km;;;
samedi 13 septembre 2025;LAUZOUA;ABIDJAN;135 000CFA;25 500CFA;;160 500CFA;52,20;417 600CFA;257 100CFA;;49 794km;;;
dimanche 14 septembre 2025;LAUZOUA;ABIDJAN;135 000CFA;20 200CFA;;155 200CFA;54,88;439 040CFA;283 840CFA;;50 171km;;;
lundi 15 septembre 2025;LAUZOUA;ABIDJAN;135 000CFA;20 200CFA;;155 200CFA;54,78;438 240CFA;283 040CFA;;50 551km;;;
mardi 16 septembre 2025;LAUZOUA;ABIDJAN;0CFA;3 300CFA;;3 300CFA;0,00;0CFA;-3 300CFA;MINNING CLOSE TILL 18 SEPTEMBER 3K driver's transport;;;;
mercredi 17 septembre 2025;LAUZOUA;ABIDJAN;135 000CFA;15 000CFA;;150 000CFA;0,00;0CFA;-150 000CFA;10K washing 5K grease;;;;
jeudi 18 septembre 2025;LAUZOUA;ABIDJAN;0CFA;20 200CFA;;20 200CFA;51,34;410 720CFA;390 520CFA;;50 977km;;;
vendredi 19 septembre 2025;LAUZOUA;ABIDJAN;135 000CFA;20 200CFA;;155 200CFA;51,58;412 640CFA;257 440CFA;;51 342km;;;
samedi 20 septembre 2025;LAUZOUA;ABIDJAN;135 000CFA;20 200CFA;;155 200CFA;56,80;454 400CFA;299 200CFA;;51 737km;;;
